mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss
1500,500.0,250.0,2.5,0.626,0.959,0.287
1500,500.0,250.0,5.0,0.628,0.956,0.288
1500,500.0,250.0,10.0,0.623,0.964,0.284
1500,300.0,150.0,2.5,0.626,0.959,0.287
1500,300.0,150.0,5.0,0.623,0.964,0.285
1500,300.0,150.0,10.0,0.623,0.963,0.283
1500,150.0,75.0,2.5,0.623,0.964,0.285
1500,150.0,75.0,5.0,0.623,0.963,0.283
1500,150.0,75.0,10.0,0.623,0.963,0.28
