mu,sigma,beta,tau,RMSE
125,12.5,2.5,0.25,0.36816917514208675
125,5.0,1.0,0.1,0.3072532444036792
125,5.0,1.0,0.1,0.28751408781346854
125,5.0,1.0,0.1,0.36182852206528876
125,5.0,1.0,0.1,0.34571461571816275
125,5.0,1.0,0.1,0.34717312539249645
125,12.5,2.5,0.25,0.3504708259356899
125,12.5,2.5,0.25,0.28061399190170144
125,5.0,1.0,0.1,0.2915540694503077
125,5.0,1.0,0.1,0.3390994094823789
