mu,sigma,beta,tau,RMSE
125,5.0,1.0,0.1,0.3390994094823789
125,5.0,2.5,0.1,0.36789841409036034
125,5.0,3.3333333333333335,0.1,0.39404202357819434
125,12.5,2.5,0.25,0.40525786586815166
125,2.5,0.5,0.05,0.4489039680065723
125,2.5,1.25,0.05,0.4795996386488317
125,2.5,1.6666666666666667,0.05,0.5018894329394862
125,5.0,1.0,0.05,0.5286140200500437
125,5.0,2.5,0.05,0.5695648973432289
125,12.5,6.25,0.25,0.6012815091424513
125,2.5,0.5,0.025,0.603837994366286
125,5.0,3.3333333333333335,0.05,0.604108294612605
125,2.5,1.25,0.025,0.6328736568858128
125,2.5,1.6666666666666667,0.025,0.653106497024376
125,5.0,1.0,0.025,0.6574030696388863
125,5.0,2.5,0.025,0.6934241811729529
125,2.5,0.5,0.0125,0.6950527364496091
125,12.5,2.5,0.125,0.7074316497303957
125,2.5,1.25,0.0125,0.7140125037105084
125,5.0,3.3333333333333335,0.025,0.7244759512210119
125,2.5,1.6666666666666667,0.0125,0.7278404954720014
125,12.5,8.333333333333334,0.25,0.7984473188016991
125,12.5,6.25,0.125,0.9646989527969851
125,12.5,2.5,0.0625,0.9852310267853598
125,12.5,8.333333333333334,0.125,1.2102861952742827
125,12.5,6.25,0.0625,1.2587187372435618
125,12.5,8.333333333333334,0.0625,1.5145008596824379
125,41.666666666666664,8.333333333333332,0.8333333333333333,8.32396927740919
125,41.666666666666664,8.333333333333332,0.41666666666666663,9.065092911990076
125,41.666666666666664,8.333333333333332,0.20833333333333331,10.256310201536087
125,41.666666666666664,20.833333333333332,0.8333333333333333,11.888170287553999
125,41.666666666666664,20.833333333333332,0.41666666666666663,12.987583623687403
125,41.666666666666664,20.833333333333332,0.20833333333333331,14.407989314770818
125,41.666666666666664,27.777777777777775,0.8333333333333333,15.13887801164229
125,41.666666666666664,27.777777777777775,0.41666666666666663,16.562899077121003
125,41.666666666666664,27.777777777777775,0.20833333333333331,18.145518092307764
