k,cutoff,mov,w90,RMSE
0.5,1650,mov_lin,100,1.148095803685964
0.5,1600,mov_lin,200,1.1764997178888061
0.5,1550,mov_lin,100,1.2117194817035533
0.5,1550,mov_lin,50,1.218146720001088
0.5,1650,mov_lin,200,1.249408102128349
0.5,1600,mov_lin,50,1.2512784188310124
0.5,1550,mov_lin,200,1.2682098889407936
0.5,1650,mov_lin,50,1.2729183101759405
0.5,1600,mov_lin,100,1.3570635347853095
1.0,1650,mov_lin,200,1.5012881924918593
1.0,1550,mov_lin,50,1.5207229712136334
1.0,1650,mov_lin,50,1.5752160917052362
1.0,1600,mov_lin,200,1.6406412409425872
1.0,1550,mov_lin,200,1.6562683115869175
1.0,1600,mov_lin,100,1.73664903884607
1.0,1550,mov_lin,100,1.7969282013877106
1.0,1600,mov_lin,50,1.8651463176804328
1.0,1650,mov_lin,100,1.9786292198862634
2.0,1600,mov_lin,200,2.4741913761404977
2.0,1550,mov_lin,100,2.703174711331031
2.0,1550,mov_lin,200,2.8510299586562975
2.0,1650,mov_lin,200,3.079964685434026
2.0,1550,mov_lin,50,3.6606731773741017
2.0,1600,mov_lin,50,4.143640401596887
2.0,1650,mov_lin,100,4.252255241152194
3.0,1600,mov_lin,200,4.506146129799689
3.0,1650,mov_lin,200,4.576944950722664
3.0,1550,mov_lin,200,4.8385745059367435
2.0,1650,mov_lin,50,5.889988713653061
2.0,1600,mov_lin,100,6.257423298025481
3.0,1600,mov_lin,100,7.7072611308707515
3.0,1650,mov_lin,50,8.71072922599035
3.0,1550,mov_lin,50,10.459160239241347
3.0,1550,mov_lin,100,10.65062215253269
3.0,1650,mov_lin,100,10.83828503819074
3.0,1600,mov_lin,50,12.359307561923282
20.0,1650,mov_lin,200,205.43355524244004
20.0,1600,mov_lin,200,283.6071132683319
20.0,1600,mov_lin,50,343.7929710790188
20.0,1600,mov_lin,100,399.0075669196382
20.0,1550,mov_lin,100,410.5472765145063
20.0,1550,mov_lin,200,446.30196984028566
20.0,1650,mov_lin,50,458.38443920191474
20.0,1650,mov_lin,100,466.77292684726467
20.0,1550,mov_lin,50,481.980334660227
